TimeStep Time Epsilon_xx Epsilon_yy Epsilon_zz Epsilon_yz Epsilon_xz Epsilon_xy Sigma_xx Sigma_yy Sigma_zz Sigma_yz Sigma_xz Sigma_xy Mises Pressure Norm
600 0.6 0.006 -0.00246301 -0.00298932 -0.00100666 0.000134437 0.000627259 2.80007e+08 690.105 2990.1 380.448 -862.386 -348.039 2.80005e+08 -9.3337e+07 2.80007e+08
610 0.61 0.0061 -0.00250782 -0.00304179 -0.00102708 0.000136911 0.000639603 2.80549e+08 690.688 2987.99 378.342 -861.637 -347.901 2.80547e+08 -9.35175e+07 2.80549e+08
620 0.62 0.0062 -0.00255267 -0.0030942 -0.00104742 0.00013935 0.000651918 2.81088e+08 691.264 2985.97 376.314 -860.876 -347.726 2.81086e+08 -9.36972e+07 2.81088e+08
630 0.63 0.0063 -0.00259753 -0.00314657 -0.00106767 0.000141754 0.000664204 2.81625e+08 691.834 2984.05 374.361 -860.101 -347.517 2.81623e+08 -9.38761e+07 2.81625e+08
640 0.64 0.0064 -0.00264242 -0.00319889 -0.00108785 0.000144126 0.000676461 2.82159e+08 692.403 2982.21 372.479 -859.316 -347.276 2.82157e+08 -9.40541e+07 2.82159e+08
650 0.65 0.0065 -0.00268732 -0.00325116 -0.00110796 0.000146467 0.000688689 2.8269e+08 692.97 2980.46 370.666 -858.521 -347.004 2.82689e+08 -9.42314e+07 2.8269e+08
660 0.66 0.0066 -0.00273224 -0.0033034 -0.00112799 0.000148777 0.000700889 2.8322e+08 693.54 2978.79 368.918 -857.718 -346.703 2.83218e+08 -9.44079e+07 2.8322e+08
670 0.67 0.0067 -0.00277718 -0.00335559 -0.00114794 0.000151058 0.000713061 2.83747e+08 694.113 2977.2 367.232 -856.906 -346.374 2.83746e+08 -9.45837e+07 2.83747e+08
680 0.68 0.0068 -0.00282214 -0.00340773 -0.00116782 0.00015331 0.000725206 2.84273e+08 694.692 2975.69 365.606 -856.087 -346.02 2.84271e+08 -9.47588e+07 2.84273e+08
690 0.69 0.0069 -0.00286711 -0.00345984 -0.00118763 0.000155535 0.000737323 2.84796e+08 695.278 2974.26 364.038 -855.263 -345.641 2.84794e+08 -9.49332e+07 2.84796e+08
700 0.7 0.007 -0.0029121 -0.00351191 -0.00120736 0.000157734 0.000749414 2.85317e+08 695.873 2972.9 362.523 -854.433 -345.238 2.85316e+08 -9.5107e+07 2.85317e+08
710 0.71 0.0071 -0.0029571 -0.00356393 -0.00122703 0.000159908 0.000761478 2.85837e+08 696.478 2971.61 361.061 -853.597 -344.813 2.85835e+08 -9.52802e+07 2.85837e+08
720 0.72 0.0072 -0.00300212 -0.00361592 -0.00124662 0.000162057 0.000773517 2.86355e+08 697.093 2970.39 359.648 -852.758 -344.367 2.86353e+08 -9.54528e+07 2.86355e+08
730 0.73 0.0073 -0.00304714 -0.00366787 -0.00126615 0.000164182 0.00078553 2.86871e+08 697.72 2969.24 358.283 -851.915 -343.901 2.86869e+08 -9.56248e+07 2.86871e+08
740 0.74 0.0074 -0.00309218 -0.00371978 -0.00128561 0.000166283 0.000797517 2.87385e+08 698.361 2968.15 356.963 -851.069 -343.415 2.87383e+08 -9.57962e+07 2.87385e+08
750 0.75 0.0075 -0.00313723 -0.00377165 -0.00130501 0.000168363 0.00080948 2.87898e+08 699.016 2967.13 355.686 -850.22 -342.912 2.87896e+08 -9.59671e+07 2.87898e+08
760 0.76 0.0076 -0.00318229 -0.00382349 -0.00132434 0.00017042 0.000821419 2.88409e+08 699.685 2966.17 354.452 -849.369 -342.391 2.88407e+08 -9.61374e+07 2.88409e+08
770 0.77 0.0077 -0.00322735 -0.00387529 -0.0013436 0.000172456 0.000833333 2.88918e+08 700.369 2965.27 353.257 -848.516 -341.855 2.88916e+08 -9.63073e+07 2.88918e+08
780 0.78 0.0078 -0.00327243 -0.00392705 -0.0013628 0.000174472 0.000845223 2.89426e+08 701.07 2964.43 352.1 -847.661 -341.302 2.89424e+08 -9.64766e+07 2.89426e+08
790 0.79 0.0079 -0.00331752 -0.00397878 -0.00138194 0.000176467 0.000857091 2.89933e+08 701.787 2963.65 350.979 -846.805 -340.735 2.89931e+08 -9.66455e+07 2.89933e+08
800 0.8 0.008 -0.00336261 -0.00403048 -0.00140101 0.000178443 0.000868935 2.90438e+08 702.521 2962.93 349.893 -845.948 -340.155 2.90436e+08 -9.68138e+07 2.90438e+08
810 0.81 0.0081 -0.00340771 -0.00408214 -0.00142003 0.000180399 0.000880757 2.90942e+08 703.272 2962.26 348.841 -845.09 -339.561 2.9094e+08 -9.69817e+07 2.90942e+08
820 0.82 0.0082 -0.00345282 -0.00413377 -0.00143898 0.000182337 0.000892557 2.91444e+08 704.041 2961.65 347.822 -844.232 -338.955 2.91442e+08 -9.71492e+07 2.91444e+08
